"Username","Tweet","Likes","Timestamp"
"The Telegraph
@Telegraph
·
19h"," The deaths of Yevgeny Prigozhin and another nine people on a crashed jet have all been confirmed. 

Read more here about the controversial investigation into the death of the leader of Wagner Group: https://telegraph.co.uk/world-news/2023/08/27/prigozhin-wagner-leader-dead-russia-confirms/…",9,2023-08-27T21:01:33.000Z
"The Telegraph
@Telegraph
·
19h"," One of the guns used by Ryan Christopher Palmeter, 21, had swastikas drawn on it, police said",4,2023-08-27T20:47:51.000Z
"The Telegraph
@Telegraph
·
19h"," GPs will be paid extra if they let patients see the doctor of their choice, under plans unveiled by Labour",32,2023-08-27T20:46:58.000Z
"The Telegraph
@Telegraph
·
19h"," Beasts of England is best when it strikes out for new pastures – when it forgets the fable, and becomes a thriller",6,2023-08-27T20:46:22.000Z
"The Telegraph
@Telegraph
·
19h"," “When people are not able to stay polite among other people and be able to enjoy an event, they should stay at home.”",7,2023-08-27T20:46:16.000Z
"The Telegraph
@Telegraph
·
19h"," The deaths of Yevgeny Prigozhin and another nine people on a crashed jet have all been confirmed. 

Read more here about the controversial investigation into the death of the leader of Wagner Group: https://telegraph.co.uk/world-news/2023/08/27/prigozhin-wagner-leader-dead-russia-confirms/…",9,2023-08-27T21:01:33.000Z
"The Telegraph
@Telegraph
·
19h"," One of the guns used by Ryan Christopher Palmeter, 21, had swastikas drawn on it, police said",4,2023-08-27T20:47:51.000Z
"The Telegraph
@Telegraph
·
19h"," GPs will be paid extra if they let patients see the doctor of their choice, under plans unveiled by Labour",32,2023-08-27T20:46:58.000Z
"The Telegraph
@Telegraph
·
19h"," Beasts of England is best when it strikes out for new pastures – when it forgets the fable, and becomes a thriller",6,2023-08-27T20:46:22.000Z
"The Telegraph
@Telegraph
·
19h"," “When people are not able to stay polite among other people and be able to enjoy an event, they should stay at home.”",7,2023-08-27T20:46:16.000Z
"The Telegraph
@Telegraph
·
22h", Nadine Dorries has refused to say whether she will vote for the Tories at the next election and warned that Rishi Sunak is destined to lead his party to defeat,13,2023-08-27T18:27:01.000Z
"The Telegraph
@Telegraph
·
22h"," The Fire Brigades Union previously branded the giant barge, initially designed for about 200 people but modified to house 500 migrants, a “potential death trap”.

Read more here: https://telegraph.co.uk/news/2023/08/27/firefighters-threaten-home-office-legal-challenge-bibby-sto/…",3,2023-08-27T18:04:17.000Z
"The Telegraph
@Telegraph
·
22h"," The Mayor of London has put funding towards a project to provide “LGBTQ+ housing free from oppression”, it has emerged",9,2023-08-27T18:01:02.000Z
"The Telegraph
@Telegraph
·
21h"," Wild boars should be given contraceptives to help control population numbers as a humane alternative to culling them, scientists have suggested",14,2023-08-27T19:01:33.000Z
"The Telegraph
@Telegraph
·
21h"," Middle-aged Hongkongers who fled the territory to live in the UK risk being left without a pension unless visa rules are changed, the Government has been warned. 

Read more here: https://telegraph.co.uk/news/2023/08/27/british-national-overseas-bno-hong-kong-pensions-crisis/…",5,2023-08-27T18:46:00.000Z
"The Telegraph
@Telegraph
·
22h"," The deputy premier of Bavaria distributed an antisemitic pamphlet while at school, with prizes including a “free trip through Auschwitz’s chimney”",13,2023-08-27T18:31:14.000Z
"The Telegraph
@Telegraph
·
22h", Nadine Dorries has refused to say whether she will vote for the Tories at the next election and warned that Rishi Sunak is destined to lead his party to defeat,13,2023-08-27T18:27:01.000Z
"The Telegraph
@Telegraph
·
22h"," The Fire Brigades Union previously branded the giant barge, initially designed for about 200 people but modified to house 500 migrants, a “potential death trap”.

Read more here: https://telegraph.co.uk/news/2023/08/27/firefighters-threaten-home-office-legal-challenge-bibby-sto/…",3,2023-08-27T18:04:17.000Z
"The Telegraph
@Telegraph
·
22h"," The Mayor of London has put funding towards a project to provide “LGBTQ+ housing free from oppression”, it has emerged",9,2023-08-27T18:01:02.000Z
"The Telegraph
@Telegraph
·
21h"," Middle-aged Hongkongers who fled the territory to live in the UK risk being left without a pension unless visa rules are changed, the Government has been warned. 

Read more here: https://telegraph.co.uk/news/2023/08/27/british-national-overseas-bno-hong-kong-pensions-crisis/…",5,2023-08-27T18:46:00.000Z
"The Telegraph
@Telegraph
·
22h"," The deputy premier of Bavaria distributed an antisemitic pamphlet while at school, with prizes including a “free trip through Auschwitz’s chimney”",13,2023-08-27T18:31:14.000Z
"The Telegraph
@Telegraph
·
22h", Nadine Dorries has refused to say whether she will vote for the Tories at the next election and warned that Rishi Sunak is destined to lead his party to defeat,13,2023-08-27T18:27:01.000Z
"The Telegraph
@Telegraph
·
22h"," The Fire Brigades Union previously branded the giant barge, initially designed for about 200 people but modified to house 500 migrants, a “potential death trap”.

Read more here: https://telegraph.co.uk/news/2023/08/27/firefighters-threaten-home-office-legal-challenge-bibby-sto/…",3,2023-08-27T18:04:17.000Z
"The Telegraph
@Telegraph
·
22h"," The Mayor of London has put funding towards a project to provide “LGBTQ+ housing free from oppression”, it has emerged",9,2023-08-27T18:01:02.000Z
"The Telegraph
@Telegraph
·
21h"," Middle-aged Hongkongers who fled the territory to live in the UK risk being left without a pension unless visa rules are changed, the Government has been warned. 

Read more here: https://telegraph.co.uk/news/2023/08/27/british-national-overseas-bno-hong-kong-pensions-crisis/…",5,2023-08-27T18:46:00.000Z
"The Telegraph
@Telegraph
·
22h"," The deputy premier of Bavaria distributed an antisemitic pamphlet while at school, with prizes including a “free trip through Auschwitz’s chimney”",13,2023-08-27T18:31:14.000Z
"The Telegraph
@Telegraph
·
22h", Nadine Dorries has refused to say whether she will vote for the Tories at the next election and warned that Rishi Sunak is destined to lead his party to defeat,13,2023-08-27T18:27:01.000Z
